Date,Open,High,Low,Close,Volume
2024-05-27,1.09662,1.09936,1.09428,1.09571,145702
2024-05-28,1.09571,1.09246,1.0875,1.09072,68047
2024-05-29,1.09072,1.09316,1.08488,1.08909,103382
2024-05-30,1.08909,1.09713,1.09111,1.09389,135087
2024-05-31,1.09389,1.08586,1.08216,1.08466,145788
2024-06-03,1.08466,1.08834,1.08603,1.08723,73204
2024-06-04,1.08723,1.09,1.08452,1.08874,74721
2024-06-05,1.08874,1.08878,1.0843,1.08572,93533
2024-06-06,1.08572,1.08176,1.07688,1.07809,109897
2024-06-07,1.07809,1.08055,1.07682,1.0787,146382
2024-06-10,1.0787,1.07987,1.07477,1.07606,78694
2024-06-11,1.07606,1.07878,1.07497,1.07752,74795
2024-06-12,1.07752,1.08152,1.07511,1.07786,82786
2024-06-13,1.07786,1.09082,1.0846,1.0867,138688
2024-06-14,1.0867,1.08922,1.08437,1.08562,62704
2024-06-17,1.08562,1.08362,1.07884,1.08028,94212
2024-06-18,1.08028,1.08527,1.07914,1.08147,70705
2024-06-19,1.08147,1.08409,1.08159,1.08287,74136
2024-06-20,1.08287,1.0922,1.08707,1.09045,142516
2024-06-21,1.09045,1.09672,1.09344,1.09522,60149
2024-06-24,1.09522,1.10015,1.0953,1.09739,88937
2024-06-25,1.09739,1.10922,1.10323,1.10564,142388
2024-06-26,1.10564,1.10247,1.09682,1.09929,114731
2024-06-27,1.09929,1.09989,1.09489,1.09599,66457
2024-06-28,1.09599,1.09273,1.08968,1.09114,101851
2024-07-01,1.09114,1.09272,1.08532,1.08923,147385
2024-07-02,1.08923,1.08366,1.08086,1.08195,96040
2024-07-03,1.08195,1.08757,1.08286,1.0856,107576
2024-07-04,1.0856,1.08801,1.08193,1.08461,107869
2024-07-05,1.08461,1.08109,1.0747,1.07685,119440
2024-07-08,1.07685,1.07464,1.06914,1.0716,76851
2024-07-09,1.0716,1.07474,1.06991,1.07349,135571
2024-07-10,1.07349,1.08128,1.07441,1.07821,148974
2024-07-11,1.07821,1.09041,1.08725,1.08919,72829
2024-07-12,1.08919,1.10931,1.1031,1.10527,133647
2024-07-15,1.10527,1.11125,1.10587,1.10778,133521
2024-07-16,1.10778,1.1042,1.09983,1.10252,126745
2024-07-17,1.10252,1.09238,1.08766,1.09099,93378
2024-07-18,1.09099,1.09436,1.09083,1.09267,102188
2024-07-19,1.09267,1.09274,1.08628,1.08845,135529
2024-07-22,1.08845,1.08899,1.08229,1.0864,73758
2024-07-23,1.0864,1.08693,1.08206,1.0833,134587
2024-07-24,1.0833,1.0859,1.08017,1.08275,142859
2024-07-25,1.08275,1.0917,1.08533,1.08874,121368
2024-07-26,1.08874,1.09138,1.08823,1.08981,90724
2024-07-29,1.08981,1.09335,1.08792,1.08916,110323
2024-07-30,1.08916,1.08581,1.08221,1.08374,64509
2024-07-31,1.08374,1.07782,1.07085,1.07488,143862
2024-08-01,1.07488,1.07581,1.07138,1.07249,90816
2024-08-02,1.07249,1.07557,1.07073,1.07241,65138
2024-08-05,1.07241,1.08624,1.08092,1.08211,131501
2024-08-06,1.08211,1.08459,1.08159,1.08303,119180
2024-08-07,1.08303,1.09131,1.08545,1.08857,116043
2024-08-08,1.08857,1.08847,1.08419,1.08607,64868
2024-08-09,1.08607,1.08246,1.07692,1.07985,127575
2024-08-12,1.07985,1.07631,1.07188,1.07485,117358
2024-08-13,1.07485,1.07267,1.06737,1.07117,131427
2024-08-14,1.07117,1.08477,1.08169,1.08279,134459
2024-08-15,1.08279,1.08062,1.07472,1.07855,79075
2024-08-16,1.07855,1.08577,1.0802,1.08329,78957
2024-08-19,1.08329,1.08167,1.07701,1.07862,143140
2024-08-20,1.07862,1.08701,1.08026,1.08386,107792
2024-08-21,1.08386,1.08859,1.08229,1.08616,99419
2024-08-22,1.08616,1.08794,1.08361,1.08553,85848
2024-08-23,1.08553,1.08732,1.08145,1.08552,117511
2024-08-26,1.08552,1.08518,1.07963,1.08219,127856
2024-08-27,1.08219,1.08693,1.08177,1.08482,60207
2024-08-28,1.08482,1.08377,1.07829,1.08257,109737
2024-08-29,1.08257,1.07858,1.0739,1.07615,149403
2024-08-30,1.07615,1.07208,1.06581,1.06949,85257
2024-09-02,1.06949,1.07242,1.06853,1.07062,85280
2024-09-03,1.07062,1.08222,1.07562,1.07929,139031
2024-09-04,1.07929,1.08328,1.07734,1.08037,65585
2024-09-05,1.08037,1.0833,1.07816,1.07995,95776
2024-09-06,1.07995,1.08489,1.07928,1.08171,101243
2024-09-09,1.08171,1.09221,1.08686,1.08898,131809
2024-09-10,1.08898,1.09252,1.08905,1.0904,71612
2024-09-11,1.0904,1.09203,1.08719,1.08838,99065
2024-09-12,1.08838,1.09751,1.09238,1.09461,73709
2024-09-13,1.09461,1.0997,1.09602,1.09718,130887
2024-09-16,1.09718,1.10901,1.10417,1.10582,116905
2024-09-17,1.10582,1.10936,1.10354,1.10706,104706
2024-09-18,1.10706,1.10329,1.09706,1.1005,95363
2024-09-19,1.1005,1.0967,1.08968,1.09319,73785
2024-09-20,1.09319,1.10647,1.10028,1.10244,142966
2024-09-23,1.10244,1.11634,1.10808,1.11216,118289
2024-09-24,1.11216,1.11417,1.10829,1.11138,88724
2024-09-25,1.11138,1.11232,1.10795,1.10947,97254
2024-09-26,1.10947,1.1216,1.1162,1.1178,125356
2024-09-27,1.1178,1.114,1.10842,1.11184,124760
2024-09-30,1.11184,1.11098,1.10541,1.10709,101498
2024-10-01,1.10709,1.11363,1.10807,1.11087,87261
2024-10-02,1.11087,1.11039,1.10449,1.1089,119395
2024-10-03,1.1089,1.11044,1.10797,1.10909,119240
2024-10-04,1.10909,1.11232,1.10725,1.10841,113972
2024-10-07,1.10841,1.1118,1.10608,1.1105,66556
2024-10-08,1.1105,1.1206,1.11546,1.11854,102550
2024-10-09,1.11854,1.12151,1.11772,1.11927,115252
2024-10-10,1.11927,1.1248,1.11895,1.1231,145505
2024-10-11,1.1231,1.11397,1.10776,1.11181,107300
2024-10-14,1.11181,1.11535,1.10886,1.11176,90844
2024-10-15,1.11176,1.10845,1.10412,1.1073,110021
2024-10-16,1.1073,1.1046,1.09877,1.10077,75951
2024-10-17,1.10077,1.10007,1.09489,1.09616,68162
2024-10-18,1.09616,1.09686,1.0915,1.09454,121028
2024-10-21,1.09454,1.10138,1.0977,1.09978,148756
2024-10-22,1.09978,1.09576,1.08943,1.0927,136140
2024-10-23,1.0927,1.09457,1.08925,1.09309,112529
2024-10-24,1.09309,1.09294,1.08951,1.09066,63622
2024-10-25,1.09066,1.09331,1.08606,1.08909,148917
2024-10-28,1.08909,1.09913,1.09292,1.09477,100466
2024-10-29,1.09477,1.10158,1.09396,1.09793,86069
2024-10-30,1.09793,1.10763,1.10355,1.1055,140323
2024-10-31,1.1055,1.10825,1.10173,1.10486,127176
2024-11-01,1.10486,1.10467,1.09831,1.10124,127465
2024-11-04,1.10124,1.10261,1.09782,1.10023,84997
2024-11-05,1.10023,1.105,1.09844,1.10178,149262
2024-11-06,1.10178,1.10411,1.09947,1.10297,100758
2024-11-07,1.10297,1.099,1.09425,1.09721,107827
2024-11-08,1.09721,1.10076,1.09433,1.09793,127586
2024-11-11,1.09793,1.10104,1.09506,1.0994,119399
2024-11-12,1.0994,1.11513,1.11095,1.11346,75505
2024-11-13,1.11346,1.12808,1.12127,1.12413,87223
2024-11-14,1.12413,1.124,1.1184,1.11956,92506
2024-11-15,1.11956,1.12116,1.11439,1.11818,145278
2024-11-18,1.11818,1.11412,1.10738,1.11022,124305
2024-11-19,1.11022,1.11156,1.1047,1.10716,92970
2024-11-20,1.10716,1.11071,1.10771,1.10913,126125
2024-11-21,1.10913,1.11866,1.11194,1.11604,126465
2024-11-22,1.11604,1.11462,1.10976,1.11219,95479
2024-11-25,1.11219,1.11015,1.1054,1.10878,96282
2024-11-26,1.10878,1.10068,1.09551,1.0971,140486
2024-11-27,1.0971,1.09895,1.09216,1.09642,110563
2024-11-28,1.09642,1.09344,1.08914,1.09082,73456
2024-11-29,1.09082,1.08973,1.08641,1.08815,124780
2024-12-02,1.08815,1.08527,1.07972,1.0836,113061
2024-12-03,1.0836,1.08733,1.07925,1.0833,105804
2024-12-04,1.0833,1.07522,1.07224,1.074,125259
2024-12-05,1.074,1.06815,1.06376,1.06633,141637
2024-12-06,1.06633,1.07992,1.07445,1.0779,89739
2024-12-09,1.0779,1.07382,1.06728,1.07118,97737
2024-12-10,1.07118,1.06846,1.06324,1.06552,77054
2024-12-11,1.06552,1.07818,1.07277,1.07552,118236
2024-12-12,1.07552,1.09272,1.08783,1.09135,96244
2024-12-13,1.09135,1.08706,1.08171,1.08518,90812
2024-12-16,1.08518,1.08722,1.07977,1.0834,122687
2024-12-17,1.0834,1.08863,1.08252,1.08546,96734
2024-12-18,1.08546,1.09829,1.09363,1.09506,101793
2024-12-19,1.09506,1.09316,1.08583,1.08988,99604
2024-12-20,1.08988,1.09234,1.08485,1.08876,83268
2024-12-23,1.08876,1.09449,1.0895,1.09321,71322
2024-12-24,1.09321,1.09811,1.09438,1.09581,134451
2024-12-25,1.09581,1.09683,1.0922,1.09396,68255
2024-12-26,1.09396,1.09565,1.08992,1.09345,89239
2024-12-27,1.09345,1.08999,1.08499,1.08615,120074
2024-12-30,1.08615,1.08773,1.0808,1.08508,71816
2024-12-31,1.08508,1.08743,1.08154,1.08385,118996
2025-01-01,1.08385,1.08918,1.0819,1.08532,125975
2025-01-02,1.08532,1.08525,1.07856,1.08253,119661
2025-01-03,1.08253,1.08934,1.08292,1.0853,87452
2025-01-06,1.0853,1.09402,1.08887,1.09101,61778
2025-01-07,1.09101,1.09595,1.08899,1.09207,139861
2025-01-08,1.09207,1.09643,1.09121,1.09421,89389
2025-01-09,1.09421,1.09746,1.09228,1.09472,132450
2025-01-10,1.09472,1.09778,1.09187,1.09494,77802
2025-01-13,1.09494,1.09265,1.08706,1.09121,74616
2025-01-14,1.09121,1.09556,1.09053,1.09316,130033
2025-01-15,1.09316,1.09694,1.0911,1.09284,144575
2025-01-16,1.09284,1.10769,1.10214,1.1045,137456
2025-01-17,1.1045,1.11511,1.11098,1.11341,127612
2025-01-20,1.11341,1.11803,1.11422,1.11578,82201
2025-01-21,1.11578,1.1135,1.11009,1.11175,142188
2025-01-22,1.11175,1.10697,1.10241,1.10578,120106
2025-01-23,1.10578,1.1168,1.11035,1.11259,75494
2025-01-24,1.11259,1.11689,1.10997,1.11428,71642
2025-01-27,1.11428,1.11932,1.11524,1.11717,138404
2025-01-28,1.11717,1.11075,1.10621,1.10765,84763
2025-01-29,1.10765,1.11415,1.10938,1.11301,128930
2025-01-30,1.11301,1.11781,1.1117,1.11576,72478
2025-01-31,1.11576,1.11324,1.10775,1.10979,85248
2025-02-03,1.10979,1.11061,1.10562,1.10739,85516
2025-02-04,1.10739,1.11345,1.10735,1.10908,85299
2025-02-05,1.10908,1.11276,1.10674,1.10959,120726
2025-02-06,1.10959,1.11089,1.10552,1.10819,142295
2025-02-07,1.10819,1.11148,1.10587,1.10784,141929
2025-02-10,1.10784,1.11077,1.10541,1.10666,126739
2025-02-11,1.10666,1.11123,1.10502,1.10773,78227
2025-02-12,1.10773,1.12044,1.11177,1.1161,146452
2025-02-13,1.1161,1.10569,1.09874,1.102,108787
2025-02-14,1.102,1.10488,1.09818,1.10092,109137
2025-02-17,1.10092,1.10359,1.10064,1.10211,123125
2025-02-18,1.10211,1.10749,1.10202,1.10396,129218
2025-02-19,1.10396,1.10468,1.10005,1.10213,145763
2025-02-20,1.10213,1.09557,1.08907,1.09267,112414
2025-02-21,1.09267,1.09792,1.0907,1.09468,114905
